square_id,cluster_k4,cluster_label
4921,2,Moderate activity
4922,2,Moderate activity
4923,2,Moderate activity
4924,2,Moderate activity
4925,2,Moderate activity
4926,3,High-activity core
4927,3,High-activity core
4928,1,Urban mixed-use
4929,1,Urban mixed-use
4930,1,Urban mixed-use
4931,2,Moderate activity
4932,2,Moderate activity
4933,1,Urban mixed-use
4934,1,Urban mixed-use
4935,2,Moderate activity
4936,2,Moderate activity
4937,2,Moderate activity
4938,2,Moderate activity
4939,1,Urban mixed-use
4940,1,Urban mixed-use
4941,1,Urban mixed-use
4942,1,Urban mixed-use
4943,3,High-activity core
4944,1,Urban mixed-use
4945,1,Urban mixed-use
4946,3,High-activity core
4947,3,High-activity core
4948,3,High-activity core
4949,3,High-activity core
4950,3,High-activity core
4951,3,High-activity core
4952,3,High-activity core
4953,3,High-activity core
4954,3,High-activity core
4955,3,High-activity core
4956,3,High-activity core
4957,3,High-activity core
4958,3,High-activity core
4959,3,High-activity core
4960,3,High-activity core
4961,3,High-activity core
4962,3,High-activity core
4963,3,High-activity core
4964,3,High-activity core
4965,3,High-activity core
4966,1,Urban mixed-use
4967,3,High-activity core
4968,3,High-activity core
4969,3,High-activity core
4970,3,High-activity core
4971,3,High-activity core
4972,3,High-activity core
4973,3,High-activity core
4974,2,Moderate activity
4975,2,Moderate activity
4976,2,Moderate activity
4977,1,Urban mixed-use
4978,1,Urban mixed-use
4979,1,Urban mixed-use
4980,2,Moderate activity
4981,2,Moderate activity
4982,2,Moderate activity
4983,2,Moderate activity
